Iteration, Population
0,1
1,1
2,1
3,2
4,2
5,2
6,4
7,4
8,4
9,8
10,7
11,7
12,9
13,8
14,7
15,13
16,13
17,13
18,22
19,20
20,16
21,25
22,20
23,15
24,29
25,25
26,24
27,43
28,42
29,37
30,60
31,50
32,45
33,78
34,68
35,60
36,102
37,92
38,82
39,130
40,123
41,113
42,193
43,174
44,155
45,272
46,243
47,224
48,391
49,352
50,322
51,553
52,508
53,460
54,772
55,700
56,620
57,1013
58,913
59,810
60,1374
61,1238
62,1116
63,1911
64,1711
65,1542
66,1598
67,1449
68,694
69,775
70,718
71,661
72,737
73,609
74,511
75,498
76,473
77,444
78,445
79,421
80,417
81,388
82,380
83,369
84,348
85,353
86,387
87,357
88,369
89,389
90,369
91,394
92,381
93,387
94,367
95,389
96,364
97,383
98,366
99,392
