Bacterium, Iteration Born, Iteration Died, Life Span, Generation, Parent Bacterium, Number of Offspring, Alive at End
0,0,11,11,1,0,3,0
1,3,25,22,2,0,7,0
2,6,16,10,2,0,3,0
3,6,7,1,3,1,0,0
4,9,12,3,2,0,0,0
5,9,12,3,3,1,0,0
6,9,16,7,3,2,2,0
7,12,19,7,3,1,2,0
8,12,31,19,3,2,6,0
9,12,15,3,4,6,0,0
10,15,22,7,3,1,2,0
11,15,47,32,3,2,10,0
12,15,26,11,4,6,3,0
13,15,24,9,4,7,2,0
14,15,15,0,4,8,0,0
15,18,23,5,3,1,1,0
16,18,21,3,4,7,0,0
17,18,26,8,4,8,2,0
18,18,21,3,4,10,0,0
19,18,25,7,4,11,2,0
20,18,39,21,5,12,6,0
21,18,26,8,5,13,2,0
22,21,42,21,3,1,6,0
23,21,27,6,4,8,1,0
24,21,23,2,4,10,0,0
25,21,21,0,4,11,0,0
26,21,32,11,5,12,3,0
27,21,26,5,5,13,1,0
28,21,22,1,4,15,0,0
29,21,27,6,5,17,1,0
30,21,27,6,5,19,1,0
31,21,23,2,6,20,0,0
32,21,25,4,6,21,1,0
33,24,40,16,3,1,5,0
34,24,31,7,4,8,2,0
35,24,27,3,4,11,0,0
36,24,32,8,5,12,2,0
37,24,48,24,5,17,7,0
38,24,33,9,5,19,2,0
39,24,51,27,6,20,8,0
40,24,48,24,6,21,7,0
41,24,24,0,4,22,0,0
42,24,62,38,5,23,12,0
43,24,45,21,6,26,6,0
44,24,26,2,6,27,0,0
45,24,32,8,6,29,2,0
46,24,32,8,6,30,2,0
47,24,30,6,7,32,1,0
48,27,28,1,4,8,0,0
49,27,27,0,4,11,0,0
50,27,27,0,6,20,0,0
51,27,30,3,4,22,0,0
52,27,29,2,6,26,0,0
53,27,68,41,4,33,13,0
54,27,84,57,5,34,18,0
55,27,34,7,6,36,2,0
56,27,30,3,6,37,0,0
57,27,39,12,6,38,3,0
58,27,36,9,7,39,2,0
59,27,38,11,7,40,3,0
60,27,29,2,6,42,0,0
61,27,38,11,7,43,3,0
62,27,61,34,7,45,11,0
63,27,34,7,7,46,2,0
64,27,28,1,8,47,0,0
65,30,48,18,4,8,5,0
66,30,47,17,4,11,5,0
67,30,39,9,6,20,2,0
68,30,32,2,4,22,0,0
69,30,33,3,6,26,0,0
70,30,37,7,4,33,2,0
71,30,64,34,5,34,11,0
72,30,33,3,6,36,0,0
73,30,33,3,6,37,0,0
74,30,35,5,6,38,1,0
75,30,46,16,7,39,5,0
76,30,39,9,7,40,2,0
77,30,32,2,6,42,0,0
78,30,38,8,7,43,2,0
79,30,33,3,7,45,0,0
80,30,34,4,7,46,1,0
81,30,39,9,5,53,2,0
82,30,30,0,6,54,0,0
83,30,37,7,7,55,2,0
84,30,48,18,7,57,5,0
85,30,32,2,8,58,0,0
86,30,48,18,8,59,5,0
87,30,40,10,8,61,3,0
88,30,54,24,8,62,7,0
89,30,35,5,8,63,1,0
90,33,34,1,4,11,0,0
91,33,45,12,6,20,3,0
92,33,35,2,4,22,0,0
93,33,33,0,4,33,0,0
94,33,42,9,6,37,2,0
95,33,35,2,7,39,0,0
96,33,38,5,7,40,1,0
97,33,41,8,6,42,2,0
98,33,36,3,7,43,0,0
99,33,35,2,5,53,0,0
100,33,46,13,6,54,4,0
101,33,50,17,7,55,5,0
102,33,41,8,7,57,2,0
103,33,35,2,8,58,0,0
104,33,34,1,8,59,0,0
105,33,60,27,8,61,8,0
106,33,39,6,8,62,1,0
107,33,34,1,8,63,0,0
108,33,53,20,5,65,6,0
109,33,38,5,5,66,1,0
110,33,50,17,7,67,5,0
111,33,59,26,5,70,8,0
112,33,39,6,6,71,1,0
113,33,53,20,7,74,6,0
114,33,64,31,8,75,10,0
115,33,38,5,8,76,1,0
116,33,36,3,8,78,0,0
117,33,51,18,8,80,3,0
118,33,36,3,6,81,0,0
119,33,54,21,8,83,4,0
120,33,33,0,8,84,0,0
121,33,44,11,9,86,2,0
122,33,49,16,9,87,2,0
123,33,47,14,9,88,2,0
124,33,56,23,9,89,4,0
125,36,36,0,4,11,0,0
126,36,45,9,6,20,1,0
127,36,60,24,4,22,5,0
128,36,48,12,4,33,1,0
129,36,36,0,6,37,0,0
130,36,55,19,7,39,2,0
131,36,40,4,7,40,1,0
132,36,44,8,6,42,1,0
133,36,39,3,7,43,0,0
134,36,42,6,5,53,1,0
135,36,40,4,6,54,1,0
136,36,39,3,7,57,0,0
137,36,42,6,8,59,1,0
138,36,44,8,8,61,1,0
139,36,37,1,8,62,0,0
140,36,42,6,5,65,1,0
141,36,36,0,5,66,0,0
142,36,59,23,7,67,4,0
143,36,40,4,5,70,1,0
144,36,47,11,6,71,1,0
145,36,41,5,8,75,1,0
146,36,38,2,8,76,0,0
